1989," Noronha, Daisy Pires", ,,,,,,,,,,,,,,,,,,,,
1989," Witter, Geraldina Porto"," Terzis, Antonios I."," Guzzo, Raquel Souza Lobo"," Amaral, Vera Lucia Raposo Adami do", ,,,,,,,,,,,,,,,,,
1990," Foresti, Noris Almeida Bethonico", ,,,,,,,,,,,,,,,,,,,,
1990," Machado-da-Silva, Clovis L."," Cunha, Vera C."," Amboni, Nerio", ,,,,,,,,,,,,,,,,,,
1990," Meneghini, Rogerio"," Fonseca, Lucia", ,,,,,,,,,,,,,,,,,,,
1990," Silva, Edna Lucia da", ,,,,,,,,,,,,,,,,,,,,
1990," Spagnolo, F.", ,,,,,,,,,,,,,,,,,,,,
1991," Coutinho, Eliana", ,,,,,,,,,,,,,,,,,,,,
1991," Mamfrim, Flavia Pereira Braga", ,,,,,,,,,,,,,,,,,,,,
1991," Mueller, Suzana Pinheiro Machado", ,,,,,,,,,,,,,,,,,,,,
1991," Oberhofer, Cecilia Malizia Alves", ,,,,,,,,,,,,,,,,,,,,
1991," Pittella, Monica Cardoso", ,,,,,,,,,,,,,,,,,,,,
1992," Almeida, Hiram Larangeira de Junior"," Gameiro, M. A.", ,,,,,,,,,,,,,,,,,,,
1992," Chiara, Ivonne Guerreiro di"," Prazeres, Yara Maria Pereira da Costa", ,,,,,,,,,,,,,,,,,,,
1992," Fonseca, Lucia", ,,,,,,,,,,,,,,,,,,,,
1992," Lautre, Evelyne", ,,,,,,,,,,,,,,,,,,,,
1992," Meneghini, Rogerio", ,,,,,,,,,,,,,,,,,,,,
1992," Mueller, Suzana Pinheiro Machado", ,,,,,,,,,,,,,,,,,,,,
1992," Oliveira, Admar Costa de"," Dorea, Jose Garrofe"," Domene, Semirames Martins Alvares", ,,,,,,,,,,,,,,,,,,
1992," Oliveira, Margarida Pinto"," Aragao, Esmeralda Maria de", ,,,,,,,,,,,,,,,,,,,
1992," Oliveira, Silas Marques de", ,,,,,,,,,,,,,,,,,,,,
